Family,Genus,Species,Comun Name,Number of recordings
Furnariidae,Premnoplex,Premnoplex brunnescens,SpottedBarbtail,105
Furnariidae,Phacellodomus,Phacellodomus rufifrons,Rufous-frontedThornbird,107
Rhinocryptidae,Liosceles,Liosceles thoracicus,Rusty-beltedTapaculo,107
Thamnophilidae,Pygiptila,Pygiptila stellaris,Spot-wingedAntshrike,107
Thamnophilidae,Myrmotherula,Myrmotherula multostriata,AmazonianStreakedAntwren,108
Vireonidae,Hylophilus,Hylophilus thoracicus,Lemon-chestedGreenlet,108
Thraupidae,Hemithraupis,Hemithraupis guira,GuiraTanager,108
Vireonidae,Pachysylvia,Pachysylvia hypoxantha,Dusky-cappedGreenlet,109
Furnariidae,Synallaxis,Synallaxis brachyura,SlatySpinetail,109
Hirundinidae,Progne,Progne tapera,Brown-chestedMartin,111
Corvidae,Cyanocorax,Cyanocorax affinis,Black-chestedJay,111
Troglodytidae,Cyphorhinus,Cyphorhinus phaeocephalus,SongWren,111
Tyrannidae,Ramphotrigon,Ramphotrigon ruficauda,Rufous-tailedFlatbill,113
Tityridae,Tityra,Tityra semifasciata,MaskedTityra,113
Furnariidae,Dendrexetastes,Dendrexetastes rufigula,Cinnamon-throatedWoodcreeper,113
Tyrannidae,Colonia,Colonia colonus,Long-tailedTyrant,114
Thraupidae,Tersina,Tersina viridis,SwallowTanager,114
Passerellidae,Chlorospingus,Chlorospingus flavigularis,Yellow-throatedBushTanager,114
Tyrannidae,Tolmomyias,Tolmomyias assimilis,Zimmer'sFlatbill,114
Hirundinidae,Stelgidopteryx,Stelgidopteryx ruficollis,SouthernRough-wingedSwallow,115
Furnariidae,Dendroma,Dendroma rufa,Buff-frontedFoliage-gleaner,115
Thamnophilidae,Phlegopsis,Phlegopsis nigromaculata,Black-spottedBare-eye,116
Thamnophilidae,Drymophila,Drymophila devillei,StriatedAntbird,116
Grallaridae,Grallaria,Grallaria varia,VariegatedAntpitta,116
Tyrannidae,Ramphotrigon,Ramphotrigon megacephalum,Large-headedFlatbill,116
Tyrannidae,Machetornis,Machetornis rixosa,CattleTyrant,117
Furnariidae,Syndactyla,Syndactyla subalaris,LineatedFoliage-gleaner,117
Tyrannidae,Pseudopipra,Pseudopipra pipra,White-crownedManakin,117
Grallaridae,Grallaria, Grallaria guatimalensis,ScaledAntpitta,118
Grallaridae,Grallaria,Grallaria saturata,EquatorialAntpitta,118
Tyrannidae,Elaenia,Elaenia chiriquensis,LesserElaenia,118
Thraupidae,Conirostrum,Conirostrum speciosum,Chestnut-ventedConebill,119
Tyrannidae,Tyrannus,Tyrannus tyrannus,EasternKingbird,119
Tityridae,Schiffornis,Schiffornis turdina,Brown-wingedSchiffornis,119
Tyrannidae,Contopus,Contopus cinereus,TropicalPewee,120
Tyrannidae,Contopus,Contopus fumigatus,Smoke-coloredPewee,121
Fringilidae,Euphonia,Euphonia chrysopasta,White-loredEuphonia,121
Thraupidae,Pipraeidea,Pipraeidea melanonota,Fawn-breastedTanager,121
Furnariidae,Automolus,Automolus infuscatus,Olive-backedFoliage-gleaner,122
Thraupidae,Dubusia,Dubusia taeniata,Buff-breastedMountainTanager,122
Rhinocryptidae,Acropternis,Acropternis orthonyx,OcellatedTapaculo,122
Fringilidae,Spinus,Spinus magellanicus,HoodedSiskin,123
Grallaridae,Grallaria,Grallaria nuchalis,Chestnut-napedAntpitta,123
Passerellidae,Ammodramus,Ammodramus aurifrons,Yellow-browedSparrow,124
Thamnophilidae,Isleria,Isleria hauxwelli,Plain-throatedAntwren,124
Troglodytidae,Campylorhynchus,Campylorhynchus zonatus,Band-backedWren,124
Furnariidae,Automolus,Automolus rufipileatus,Chestnut-crownedFoliage-gleaner,125
Thamnophilidae,Thamnophilus,Thamnophilus amazonicus,AmazonianAntshrike,125
Icteridae,Psarocolius,Psarocolius viridis,GreenOropendola,125
Vireonidae,Hylophilus,Hylophilus flavipes,ScrubGreenlet,125
Thamnophilidae,Thamnomanes,Thamnomanes ardesiacus,Dusky-throatedAntshrike,125
Tyrannidae,Empidonax,Empidonax flaviventris,Yellow-belliedFlycatcher,125
Turdidae,Catharus,Catharus minimus,Grey-cheekedThrush,126
Thamnophilidae,Myrmelastes,Myrmelastes leucostigma,Spot-wingedAntbird,126
Hirundinidae,Progne,Progne chalybea,Grey-breastedMartin,127
Thamnophilidae,Cercomacroides,Cercomacroides serva,BlackAntbird,127
Troglodytidae,Pheugopedius,Pheugopedius fasciatoventris,Black-belliedWren,127
Furnariidae,Lepidocolaptes,Lepidocolaptes souleyetii,Streak-headedWoodcreeper,127
Passerellidae,Ammodramus,Ammodramus humeralis,GrasslandSparrow,128
Icteridae,Cacicus,Cacicus solitarius,SolitaryCacique,128
Tyrannidae,Elaenia,Elaenia spectabilis,LargeElaenia,128
Thraupidae,Diglossa,Diglossa cyanea,MaskedFlowerpiercer,128
Thraupidae,Eucometis,Eucometis penicillata,Grey-headedTanager,130
Furnariidae,Clibanornis,Clibanornis rubiginosus,RuddyFoliage-gleaner,130
Thamnophilidae,Thamnophilus,Thamnophilus unicolor,UniformAntshrike,131
Thamnophilidae,Thamnophilus,Thamnophilus murinus,Mouse-coloredAntshrike,131
Vireonidae,Vireo,Vireo flavoviridis,Yellow-greenVireo,131
Thraupidae,Coryphospingus,Coryphospingus cucullatus,RedPileatedFinch,131
Passerellidae,Atlapetes,Atlapetes latinuchus,Yellow-breastedBrushfinch,132
Troglodytidae,Cinnycerthia,Cinnycerthia unirufa,RufousWren,132
Vireonidae,Cyclarhis,Cyclarhis nigrirostris,Black-billedPeppershrike,133
Cotingidae,Pipreola,Pipreola riefferii,Green-and-blackFruiteater,133
Thamnophilidae,Myrmeciza,Myrmeciza longipes,White-belliedAntbird,133
Ploceidae,Ploceus,Ploceus cucullatus,VillageWeaver,134
Thraupidae,Tiaris,Tiaris olivaceus,Yellow-facedGrassquit,134
Rhinocryptidae,Scytalopus,Scytalopus griseicollis,Pale-belliedTapaculo,134
Tyrannidae,Attila,Attila cinnamomeus,CinnamonAttila,135
Tyrannidae,Myiotriccus,Myiotriccus ornatus,OrnateFlycatcher,136
Thamnophilidae,Herpsilochmus,Herpsilochmus rufimarginatus,Rufous-marginedAntwren,136
Thamnophilidae,Myrmotherula,Myrmotherula menetriesii,GreyAntwren,137
Passerellidae,Atlapetes,Atlapetes schistaceus,SlatyBrushfinch,137
Thamnophilidae,Willisornis,Willisornis poecilinotus,CommonScale-backedAntbird,137
Thamnophilidae,Thamnophilus,Thamnophilus punctatus,NorthernSlatyAntshrike,138
Furnariidae,Dendrocolaptes,Dendrocolaptes picumnus,Black-bandedWoodcreeper,140
Thamnophilidae,Formicivora,Formicivora grisea,SouthernWhite-fringedAntwren,141
Cotingidae,Rupicola,Rupicola peruvianus,AndeanCock-of-the-rock,142
Vireonidae,Vireolanius,Vireolanius leucotis,Slaty-cappedShrike-Vireo,142
Furnariidae,Synallaxis,Synallaxis unirufa,RufousSpinetail,143
Thraupidae,Sporophila,Sporophila caerulescens,Double-collaredSeedeater,143
Passerellidae,Spizella,Spizella pallida,Clay-coloredSparrow,143
Troglodytidae,Cistothorus,Cistothorus apolinari,Apolinar'sWren,144
Thamnophilidae,Thamnophilus,Thamnophilus schistaceus,Plain-wingedAntshrike,144
Thamnophilidae,Sakesphorus,Sakesphorus canadensis,Black-crestedAntshrike,144
Troglodytidae,Cinnycerthia,Cinnycerthia olivascens,Sepia-brownWren,146
Furnariidae,Sclerurus,Sclerurus obscurior,DuskyLeaftosser,146
Thraupidae,Anisognathus,Anisognathus igniventris,Scarlet-belliedMountainTanager,147
Tyrannidae,Lophotriccus,Lophotriccus galeatus,HelmetedPygmyTyrant,147
Thamnophilidae,Drymophila,Drymophila striaticeps,Streak-headedAntbird,147
Hirundinidae,Tachycineta,Tachycineta bicolor,TreeSwallow,148
Pipridae,Ceratopipra,Ceratopipra erythrocephala,Golden-headedManakin,150
Thamnophilidae,Pyriglena,Pyriglena maura,WesternFire-eye,150
Cotingidae,Querula,Querula purpurata,Purple-throatedFruitcrow,151
Vireonidae,Pachysylvia,Pachysylvia decurtata,LesserGreenlet,152
Rhodinocichlidae,Rhodinocichla,Rhodinocichla rosea,RosyThrush-tanager,152
Thamnophilidae,Hypocnemis,Hypocnemis peruviana,PeruvianWarblingAntbird,153
Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,AmericanCliffSwallow,153
Tyrannidae,Elaenia,Elaenia parvirostris,Small-billedElaenia,154
Furnariidae,Lochmias,Lochmias nematura,Sharp-tailedStreamcreeper,154
Fringilidae,Euphonia,Euphonia violacea,ViolaceousEuphonia,155
Tyrannidae,Ornithion,Ornithion inerme,White-loredTyrannulet,155
Troglodytidae,Pheugopedius,Pheugopedius sclateri,Speckle-breastedWren,155
Corvidae,Cyanocorax,Cyanocorax violaceus,ViolaceousJay,155
Thamnophilidae,Myrmotherula,Myrmotherula brachyura,PygmyAntwren,156
Troglodytidae,Cyphorhinus,Cyphorhinus arada,MusicianWren,157
Furnariidae,Synallaxis,Synallaxis gujanensis,Plain-crownedSpinetail,158
Icteridae,Cacicus,Cacicus haemorrhous,Red-rumpedCacique,158
Grallaridae,Grallaricula,Grallaricula nana,Slaty-crownedAntpitta,158
Fringilidae,Euphonia,Euphonia laniirostris,Thick-billedEuphonia,159
Tyrannidae,Tolmomyias,Tolmomyias poliocephalus,Grey-crownedFlatbill,159
Vireonidae,Vireo,Vireo leucophrys,Brown-cappedVireo,160
Hirundinidae,Pygochelidon,Pygochelidon cyanoleuca,Blue-and-whiteSwallow,161
Tyrannidae,Mionectes,Mionectes oleagineus,Ochre-belliedFlycatcher,162
Furnariidae,Xenops,Xenops rutilans,StreakedXenops,163
Thraupidae,Emberizoides,Emberizoides herbicola,Wedge-tailedGrassFinch,163
Turdidae,Catharus,Catharus fuscater,Slaty-backedNightingale-Thrush,163
Hirundinidae,Progne,Progne subis,PurpleMartin,164
Tyrannidae,Myiopagis,Myiopagis gaimardii,ForestElaenia,165
Tyrannidae,Myiarchus,Myiarchus swainsoni,Swainson'sFlycatcher,166
Passerellidae,Arremon,Arremon taciturnus,PectoralSparrow,166
Pipridae,Lepidothrix,Lepidothrix coronata,Blue-crownedManakin,167
Pipridae,Tyranneutes,Tyranneutes stolzmanni,DwarfTyrant-Manakin,167
Tyrannidae,Elaenia,Elaenia frantzii,MountainElaenia,167
Icteridae,Icterus,Icterus chrysater,Yellow-backedOriole,168
Troglodytidae,Campylorhynchus,Campylorhynchus turdinus,Thrush-likeWren,169
Rhinocryptidae,Scytalopus,Scytalopus atratus,White-crownedTapaculo,169
Thraupidae,Sporophila,Sporophila angolensis,Chestnut-belliedSeedFinch,170
Thamnophilidae,Percnostola,Percnostola rufifrons,Black-headedAntbird,172
Tyrannidae,Tolmomyias,Tolmomyias flaviventris,Ochre-loredFlatbill,174
Tyrannidae,Myiodynastes,Myiodynastes chrysocephalus,Golden-crownedFlycatcher,175
Thamnophilidae,Thamnomanes,Thamnomanes caesius,CinereousAntshrike,176
Motacillidae,Anthus,Anthus rubescens,Buff-belliedPipit,177
Vireonidae,Tunchiornis,Tunchiornis ochraceiceps,Tawny-crownedGreenlet,178
Vireonidae,Vireo,Vireo flavifrons,Yellow-throatedVireo,178
Tyrannidae,Mecocerculus,Mecocerculus leucophrys,White-throatedTyrannulet,178
Tyrannidae,Rhytipterna,Rhytipterna simplex,GreyishMourner,178
Tyrannidae,Leptopogon,Leptopogon amaurocephalus,Sepia-cappedFlycatcher,179
Furnariidae,Dendrocolaptes,Dendrocolaptes certhia,AmazonianBarredWoodcreeper,180
Grallaridae,Myrmothera,Myrmothera campanisona,Thrush-likeAntpitta,182
Thamnophilidae,Cercomacroides,Cercomacroides nigrescens,BlackishAntbird,183
Troglodytidae,Cyphorhinus,Cyphorhinus thoracicus,Chestnut-breastedWren,183
Thraupidae,Sicalis,Sicalis luteola,GrasslandYellowFinch,183
Troglodytidae,Pheugopedius,Pheugopedius rutilus,Rufous-breastedWren,183
Furnariidae,Xiphocolaptes,Xiphocolaptes promeropirhynchus,Strong-billedWoodcreeper,185
Thamnophilidae,Thamnophilus,Thamnophilus aethiops,White-shoulderedAntshrike,186
Icteridae,Dolichonyx,Dolichonyx oryzivorus,Bobolink,187
Grallaridae,Grallaria,Grallaria quitensis,TawnyAntpitta,187
Thamnophilidae,Sclateria,Sclateria naevia,SilveredAntbird,188
Polioptilidae,Polioptila,Polioptila plumbea,TropicalGnatcatcher,191
Thamnophilidae,Cymbilaimus,Cymbilaimus lineatus,FasciatedAntshrike,192
Furnariidae,Xiphorhynchus,Xiphorhynchus susurrans,CocoaWoodcreeper,192
Tyrannidae,Myiarchus,Myiarchus ferox,Short-crestedFlycatcher,192
Tyrannidae,Myiopagis,Myiopagis caniceps,GreyElaenia,193
Thamnophilidae,Thamnophilus,Thamnophilus atrinucha,Black-crownedAntshrike,193
Icteridae,Icterus,Icterus spurius,OrchardOriole,193
Rhinocryptidae,Scytalopus,Scytalopus spillmanni,Spillmann'sTapaculo,193
Tyrannidae,Sayornis,Sayornis nigricans,BlackPhoebe,194
Formicariidae,Formicarius,Formicarius colma,Rufous-cappedAntthrush,194
Tyrannidae,Myiophobus,Myiophobus fasciatus,Bran-coloredFlycatcher,194
Icteridae,Molothrus,Molothrus bonariensis,ShinyCowbird,195
Troglodytidae,Thryophilus,Thryophilus rufalbus,Rufous-and-whiteWren,195
Passerellidae,Arremonops,Arremonops conirostris,Black-stripedSparrow,199
Tyrannidae,Pyrrhomyias,Pyrrhomyias cinnamomeus,CinnamonFlycatcher,200
Tyrannidae,Myiodynastes,Myiodynastes luteiventris,Sulphur-belliedFlycatcher,200
Troglodytidae,Troglodytes,Troglodytes solstitialis,MountainWren,204
Thamnophilidae,Cercomacra,Cercomacra cinerascens,GreyAntbird,205
Troglodytidae,Pheugopedius,Pheugopedius euophrys,Plain-tailedWren,206
Tyrannidae,Contopus,Contopus cooperi,Olive-sidedFlycatcher,206
Thamnophilidae,Hylophylax,Hylophylax naevius,Spot-backedAntbird,207
Donacobiidae,Donacobius,Donacobius atricapilla,Black-cappedDonacobius,207
Tyrannidae,Piprites,Piprites chloris,Wing-barredPiprites,208
Furnariidae,Glyphorynchus,Glyphorynchus spirurus,Wedge-billedWoodcreeper,208
Thraupidae,Saltator,Saltator striatipectus,StreakedSaltator,212
Fringilidae,Euphonia,Euphonia xanthogaster,Orange-belliedEuphonia,215
Icteridae,Psarocolius,Psarocolius decumanus,CrestedOropendola,216
Fringilidae,Euphonia,Euphonia chlorotica,Purple-throatedEuphonia,216
Corvidae,Cyanocorax,Cyanocorax yncas,IncaJay,217
Thraupidae,Thraupis,Thraupis palmarum,PalmTanager,218
Tyrannidae,Cnemotriccus,Cnemotriccus fuscatus,FuscousFlycatcher,218
Thraupidae,Sporophila,Sporophila nigricollis,Yellow-belliedSeedeater,220
Tyrannidae,Capsiempis,Capsiempis flaveola,YellowTyrannulet,221
Thraupidae,Thraupis,Thraupis episcopus,Blue-greyTanager,226
Passerellidae,Arremon,Arremon aurantiirostris,Orange-billedSparrow,227
Tyrannidae,Myiozetetes,Myiozetetes cayanensis,Rusty-marginedFlycatcher,227
Mimidae,Mimus,Mimus gilvus,TropicalMockingbird,228
Thamnophilidae,Microrhopias,Microrhopias quixensis,Dot-wingedAntwren,228
Tyrannidae,Myiopagis,Myiopagis viridicata,GreenishElaenia,229
Furnariidae,Campylorhamphus,Campylorhamphus trochilirostris,Red-billedScythebill,229
Tyrannidae,Phaeomyias,Phaeomyias murina,Mouse-coloredTyrannulet,231
Thamnophilidae,Myrmoborus,Myrmoborus leucophrys,White-browedAntbird,232
Thraupidae,Ramphocelus,Ramphocelus carbo,Silver-beakedTanager,232
Tyrannidae,Zimmerius,Zimmerius chrysops,Golden-facedTyrannulet,234
Tyrannidae,Hemitriccus,Hemitriccus margaritaceiventer,Pearly-ventedTody-Tyrant,236
Tyrannidae,Todirostrum,Todirostrum cinereum,CommonTody-Flycatcher,237
Tyrannidae,Empidonax,Empidonax virescens,AcadianFlycatcher,237
Passerellidae,Ammodramus,Ammodramus savannarum,GrasshopperSparrow,237
Furnariidae,Certhiaxis,Certhiaxis cinnamomeus,Yellow-chinnedSpinetail,239
Tyrannidae,Euscarthmus,Euscarthmus meloryphus,Tawny-crownedPygmyTyrant,240
Tyrannidae,Platyrinchus,Platyrinchus mystaceus,White-throatedSpadebill,243
Passerellidae,Arremon,Arremon assimilis,Grey-browedBrushfinch,246
Troglodytidae,Pheugopedius,Pheugopedius mystacalis,WhiskeredWren,246
Furnariidae,Dendroplex,Dendroplex picus,Straight-billedWoodcreeper,248
Troglodytidae,Pheugopedius,Pheugopedius genibarbis,MoustachedWren,248
Furnariidae,Dendrocincla,Dendrocincla fuliginosa,Plain-brownWoodcreeper,250
Troglodytidae,Pheugopedius,Pheugopedius coraya,CorayaWren,253
Furnariidae,Xenops,Xenops minutus,PlainXenops,254
Thamnophilidae,Myrmophylax,Myrmophylax atrothorax,Black-throatedAntbird,254
Tityridae,Pachyramphus,Pachyramphus polychopterus,White-wingedBecard,260
Thraupidae,Sicalis,Sicalis flaveola,SaffronFinch,262
Passerellidae,Arremon,Arremon brunneinucha,Chestnut-cappedBrushfinch,263
Tyrannidae,Contopus,Contopus virens,EasternWoodPewee,265
Tyrannidae,Empidonax,Empidonax minimus,LeastFlycatcher,265
Troglodytidae,Cantorchilus,Cantorchilus nigricapillus,BayWren,268
Thamnophilidae,Myrmotherula,Myrmotherula axillaris,White-flankedAntwren,268
Thraupidae,Saltator,Saltator coerulescens,Blue-greySaltator,270
Passerellidae,Chlorospingus,Chlorospingus flavopectus,CommonBushTanager,277
Tyrannidae,Empidonax,Empidonax traillii,WillowFlycatcher,277
Icteridae,Sturnella,Sturnella magna,EasternMeadowlark,279
Tyrannidae,Elaenia,Elaenia flavogaster,Yellow-belliedElaenia,279
Icteridae,Psarocolius,Psarocolius angustifrons,Russet-backedOropendola,279
Tyrannidae,Myiarchus,Myiarchus crinitus,GreatCrestedFlycatcher,279
Furnariidae,Automolus,Automolus ochrolaemus,Buff-throatedFoliage-gleaner,287
Pipridae,Manacus,Manacus manacus,White-beardedManakin,287
Furnariidae,Synallaxis,Synallaxis albescens,Pale-breastedSpinetail,291
Turdidae,Catharus,Catharus fuscescens,Veery,291
Thamnophilidae,Poliocrania,Poliocrania exsul,Chestnut-backedAntbird,293
Thraupidae,Saltator,Saltator grossus,Slate-coloredGrosbeak,294
Icteridae,Icterus,Icterus galbula,BaltimoreOriole,297
Formicariidae,Chamaeza,Chamaeza campanisona,Short-tailedAntthrush,300
Tyrannidae,Empidonax,Empidonax alnorum,AlderFlycatcher,304
Icteridae,Quiscalus,Quiscalus mexicanus,Great-tailedGrackle,306
Turdidae,Myadestes,Myadestes ralloides,AndeanSolitaire,307
Tyrannidae,Legatus,Legatus leucophaius,PiraticFlycatcher,308
Thraupidae,Volatinia,Volatinia jacarina,Blue-blackGrassquit,310
Tyrannidae,Lophotriccus,Lophotriccus pileatus,Scale-crestedPygmyTyrant,314
Tyrannidae,Contopus,Contopus sordidulus,WesternWoodPewee,324
Vireonidae,Vireo,Vireo chivi,ChiviVireo,330
Thraupidae,Saltator,Saltator maximus,Buff-throatedSaltator,330
Troglodytidae,Cistothorus,Cistothorus platensis,GrassWren,331
Hirundinidae,Riparia,Riparia riparia,SandMartin,331
Icteridae,Cacicus,Cacicus cela,Yellow-rumpedCacique,332
Grallaridae,Grallaria,Grallaria ruficapilla,Chestnut-crownedAntpitta,336
Vireonidae,Vireo,Vireo olivaceus,Red-eyedVireo,340
Thamnophilidae,Cercomacroides,Cercomacroides tyrannina,DuskyAntbird,342
Troglodytidae,Microcerculus,Microcerculus marginatus,SouthernNightingale-Wren,342
Formicariidae,Formicarius,Formicarius analis,Black-facedAntthrush,343
Thamnophilidae,Myrmoborus,Myrmoborus myotherinus,Black-facedAntbird,350
Tyrannidae,Myiodynastes,Myiodynastes maculatus,StreakedFlycatcher,351
Fringilidae,Spinus,Spinus psaltria,LesserGoldfinch,355
Turdidae,Hylocichla,Hylocichla mustelina,WoodThrush,364
Tyrannidae,Lathrotriccus,Lathrotriccus euleri,Euler'sFlycatcher,380
Furnariidae,Synallaxis,Synallaxis azarae,Azara'sSpinetail,387
Tyrannidae,Myiozetetes,Myiozetetes similis,SocialFlycatcher,394
Vireonidae,Vireo,Vireo griseus,White-eyedVireo,398
Thamnophilidae,Thamnophilus,Thamnophilus doliatus,BarredAntshrike,401
Cotingidae,Lipaugus,Lipaugus vociferans,ScreamingPiha,402
Furnariidae,Sittasomus,Sittasomus griseicapillus,OlivaceousWoodcreeper,410
Rhinocryptidae,Scytalopus,Scytalopus latrans,BlackishTapaculo,415
Passerellidae,Passerculus,Passerculus sandwichensis,SavannahSparrow,416
Troglodytidae,Cantorchilus,Cantorchilus leucotis,Buff-breastedWren,425
Thamnophilidae,Dysithamnus,Dysithamnus mentalis,PlainAntvireo,432
Tyrannidae,Megarynchus,Megarynchus pitangua,Boat-billedFlycatcher,435
Alaudidae,Eremophila,Eremophila alpestris,HornedLark,442
Furnariidae,Xiphorhynchus,Xiphorhynchus guttatus,Buff-throatedWoodcreeper,445
Tyrannidae,Camptostoma,Camptostoma obsoletum,SouthernBeardlessTyrannulet,446
Thamnophilidae,Taraba,Taraba major,GreatAntshrike,455
Tyrannidae,Attila,Attila spadiceus,Bright-rumpedAttila,458
Tyrannidae,Myiarchus,Myiarchus tuberculifer,Dusky-cappedFlycatcher,459
Turdidae,Catharus,Catharus aurantiirostris,Orange-billedNightingale-Thrush,466
Mimidae,Dumetella,Dumetella carolinensis,GreyCatbird,470
Tyrannidae,Tyrannus,Tyrannus melancholicus,TropicalKingbird,479
Passerellidae,Zonotrichia,Zonotrichia leucophrys,White-crownedSparrow,498
Polioptilidae,Ramphocaenus,Ramphocaenus melanurus,TrillingGnatwren,504
Tyrannidae,Myiarchus,Myiarchus tyrannulus,Brown-crestedFlycatcher,569
Tyrannidae,Tolmomyias,Tolmomyias sulphurescens,Yellow-oliveFlatbill,572
Thraupidae,Coereba,Coereba flaveola,Bananaquit,573
Troglodytidae,Henicorhina,Henicorhina leucosticta,White-breastedWoodWren,604
Vireonidae,Vireo,Vireo gilvus,WarblingVireo,609
Tyrannidae,Pitangus,Pitangus sulphuratus,GreatKiskadee,661
Turdidae,Catharus,Catharus ustulatus,Swainson'sThrush,691
Vireonidae,Cyclarhis,Cyclarhis gujanensis,Rufous-browedPeppershrike,770
Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collaredSparrow,774
Troglodytidae,Henicorhina,Henicorhina leucophrys,Grey-breastedWoodWren,899
Hirundinidae,Hirundo,Hirundo rustica,BarnSwallow,1573
Passeridae,Passer,Passer domesticus,HouseSparrow,1768
Troglodytidae,Troglodytes,Troglodytes aedon,HouseWren,1770
